Titulo;Genero;Temporadas;PreEstreia;Linguagem;Ativo;Status;dt_inclusao;Data de Alteracao
Knights of the Zodiac: Saint Seiya;Action;a ser anunciado;"";English;1;Pending;2021-03-16T21:20:24.167-03:00;2021-11-22
Kengan Ashura;Action;a ser anunciado;"";English;1;Pending;2021-03-16T21:20:24.167-03:00;2021-11-22
Blazing Transfer Students;Action comedy;1 season, 8 episodes;"";Japanese;0;Ended;2021-03-16T21:20:24.167-03:00;2021-11-22
Beyond Stranger Things;Aftershow;1 season, 7 episodes;"";English;1;Pending;2021-03-16T21:20:24.167-03:00;2021-11-22
Love, Death & Robots;Anthology;1 volume, 18 episodes;"";English;1;Renewed;2021-03-16T21:20:24.167-03:00;2021-11-22
Sugar Rush;Baking competition;1 season, 8 episodes;"";English;1;Renewed;2021-03-16T21:20:24.167-03:00;2021-11-22
Abstract: The Art of Design;Biography;1 season, 8 episodes;"";English;0;Ended;2021-03-16T21:20:24.167-03:00;2021-11-22
The Day I Met El Chapo;Biography;1 season, 3 episodes;"";English;0;Ended;2021-03-16T21:20:24.167-03:00;2021-11-22
BoJack Horseman;Black comedy-drama;5 seasons, 61 episodes;"";English;1;Renewed;2021-03-16T21:20:24.167-03:00;2021-11-22
A Series of Unfortunate Events;Black-comedy mystery;3 seasons, 25 episodes;"";English;0;Ended;2021-03-16T21:20:24.167-03:00;2021-11-22
Dancing Queen;Celebrity;1 season, 8 episodes;"";English;1;Pending;2021-03-16T21:20:24.167-03:00;2021-11-22
Chasing Cameron;Celebrity;1 season, 10 episodes;"";English;0;Ended;2021-03-16T21:20:24.167-03:00;2021-11-22
GLOW;Comedy;2 seasons, 20 episodes;"";English;1;Renewed;2021-03-16T21:20:24.167-03:00;2021-11-22
The Kominsky Method;Comedy;1 season, 8 episodes;"";English;1;Renewed;2021-03-16T21:20:24.167-03:00;2021-11-22
Russian Doll;Comedy;1 season, 8 episodes;"";English;1;Renewed;2021-03-16T21:20:24.167-03:00;2021-11-22
After Life;Comedy;1 season, 6 episodes;"";English;1;Renewed;2021-03-16T21:20:24.167-03:00;2021-11-22
Turn Up Charlie;Comedy;1 season, 8 episodes;"";English;1;Pending;2021-03-16T21:20:24.167-03:00;2021-11-22
Huge in France;Comedy;1 season, 8 episodes;"";English;1;Pending;2021-03-16T21:20:24.167-03:00;2021-11-22
Special;Comedy;1 season, 8 episodes;"";English;1;Pending;2021-03-16T21:20:24.167-03:00;2021-11-22
Lunatics;Comedy;1 season, 10 episodes;"";English;1;Pending;2021-03-16T21:20:24.167-03:00;2021-11-22
It's Bruno!;Comedy;1 season, 8 episodes;"";English;1;Pending;2021-03-16T21:20:24.167-03:00;2021-11-22
Mr. Iglesias;Comedy;1 season, 10 episodes;"";English;1;Pending;2021-03-16T21:20:24.167-03:00;2021-11-22
Family Reunion[64];Comedy;a ser anunciado;"";English;1;Pending;2021-03-16T21:20:24.167-03:00;2021-11-22
The Politician;Comedy;a ser anunciado;"";English;1;Renewed;2021-03-16T21:20:24.167-03:00;2021-11-22
Paradise PD;Comedy;1 season, 10 episodes;"";English;1;Renewed;2021-03-16T21:20:24.167-03:00;2021-11-22
Tuca & Bertie;Comedy;1 season, 10 episodes;"";English;1;Pending;2021-03-16T21:20:24.167-03:00;2021-11-22
Aggretsuko;Comedy;2 seasons, 20 episodes;"";English;1;Pending;2021-03-16T21:20:24.167-03:00;2021-11-22
Malibu Rescue: The Series;Comedy;1 season, 8 episodes;"";English;1;Pending;2021-03-16T21:20:24.167-03:00;2021-11-22
Samantha!;Comedy;2 seasons, 14 episodes;"";Portuguese;1;Pending;2021-03-16T21:20:24.167-03:00;2021-11-22
Jimmy: The True Story of a True Idiot;Comedy;1 season, 9 episodes;"";Japanese;1;Pending;2021-03-16T21:20:24.167-03:00;2021-11-22
The House of Flowers;Comedy;1 season, 13 episodes;"";Spanish;1;Renewed;2021-03-16T21:20:24.167-03:00;2021-11-22
YG Future Strategy Office;Comedy;1 season, 8 episodes;"";Korean;1;Pending;2021-03-16T21:20:24.167-03:00;2021-11-22
Family Business;Comedy;a ser anunciado;"";French;1;Pending;2021-03-16T21:20:24.167-03:00;2021-11-22
Unbreakable Kimmy Schmidt;Comedy;4 seasons, 51 episodes;"";English;0;Ended;2021-03-16T21:20:24.167-03:00;2021-11-22
Master of None;Comedy;2 seasons, 20 episodes;"";English;0;Ended;2021-03-16T21:20:24.167-03:00;2021-11-22
Flaked;Comedy;2 seasons, 14 episodes;"";English;0;Ended;2021-03-16T21:20:24.167-03:00;2021-11-22
